,Compound,Date,Negative,Neutral,NewsOrg,Positive,Text,Tweets Ago
444,0.3818,Tue Apr 10 15:38:34 +0000 2018,0.0,0.843,@FoxNews,0.157,.@SenJohnKennedy: “It seems to me that Facebook has an obligation to protect people’s data.” https://t.co/G4uvFBgNSQ,45
445,-0.1027,Tue Apr 10 15:37:19 +0000 2018,0.149,0.851,@FoxNews,0.0,Would you pay $20 million for a license plate? https://t.co/jcn7gsDwtd,46
446,0.4588,Tue Apr 10 15:25:50 +0000 2018,0.0,0.765,@FoxNews,0.235,.@SenJohnKennedy: “I don’t want to have to regulate Facebook. Clearly though we have a problem.” https://t.co/Tk5PHNmg8n,47
447,-0.6486,Tue Apr 10 15:15:00 +0000 2018,0.301,0.699,@FoxNews,0.0,6 dead when Arizona plane crashes shortly after takeoff (via @travfed)  https://t.co/ARuWr8WJ2V,48
448,0.34,Tue Apr 10 15:10:17 +0000 2018,0.0,0.806,@FoxNews,0.194,Awaiting U.N. Security Council Vote on Syria; @EricShawnTV reports https://t.co/ZyUcHIjt9z https://t.co/BIHnjDOI1D,49
449,-0.296,Tue Apr 10 15:05:00 +0000 2018,0.3,0.471,@FoxNews,0.229,Popular Black Lives Matter Facebook page exposed as fraud https://t.co/5LEm09NrrM (via @christocarbone),50
450,0.0258,Tue Apr 10 15:02:48 +0000 2018,0.156,0.68,@FoxNews,0.163,"Homeland Security Adviser Tom Bossert resigns, White House says - via @brookefoxnews 
https://t.co/yZpJ4fnQca",51
451,-0.34,Tue Apr 10 14:54:56 +0000 2018,0.156,0.844,@FoxNews,0.0,Tennessee college senior defends posing for graduation picture with gun in her waistband https://t.co/c2J6kUR9Mt,52
452,0.0258,Tue Apr 10 14:51:57 +0000 2018,0.181,0.63,@FoxNews,0.189,"Homeland Security Adviser Tom Bossert resigns, White House says https://t.co/KfE9TCOPik",53
453,0.0,Tue Apr 10 14:50:55 +0000 2018,0.179,0.641,@FoxNews,0.179,Rare Titanic love letter up for auction offers insight into life on the doomed ocean liner https://t.co/1LpbaSGD7V,54
454,-0.6369,Tue Apr 10 14:42:00 +0000 2018,0.441,0.395,@FoxNews,0.164,Stocks surge as fears of trade war ease https://t.co/qACcop2qJo,55
455,0.0258,Tue Apr 10 14:39:24 +0000 2018,0.168,0.657,@FoxNews,0.175,"Homeland Security Adviser Tom Bossert resigns, White House says https://t.co/XT4zAgm28q https://t.co/A8CSrtqTAK",56
456,0.0258,Tue Apr 10 14:25:27 +0000 2018,0.146,0.701,@FoxNews,0.153,"BREAKING NEWS: Homeland Security Adviser Tom Bossert resigns, White House says https://t.co/XT4zAgm28q https://t.co/JI2TLsxz5z",57
457,0.0,Tue Apr 10 14:16:22 +0000 2018,0.0,1.0,@FoxNews,0.0,"Life-sized cutouts depicting Facebook CEO Mark Zuckerberg wearing ""Fix Fakebook"" T-shirts are displayed by an advoc… https://t.co/9qwPeQqGUl",58
458,0.128,Tue Apr 10 14:11:42 +0000 2018,0.0,0.909,@FoxNews,0.091,"Moments ago, President @realDonaldTrump tweeted about hosting America’s senior defense and military leaders for din… https://t.co/u4bNIAYrBW",59
459,-0.4019,Tue Apr 10 14:05:55 +0000 2018,0.197,0.803,@FoxNews,0.0,"Florida motorcyclist rammed, driven off road by mystery driver during dispute https://t.co/tVEdOMxE8q",60
460,0.0,Tue Apr 10 14:03:14 +0000 2018,0.0,1.0,@FoxNews,0.0,Trump's National Guard request for US-Mexico border draws response from surrounding states https://t.co/yY8vBnKM5X,61
461,0.0,Tue Apr 10 14:01:32 +0000 2018,0.0,1.0,@FoxNews,0.0,"RT @FoxBusiness: Kroger to hire 11,000 employees and invest $500 million in associate wages, training and development over the next three y…",62
462,0.6326,Tue Apr 10 14:00:10 +0000 2018,0.0,0.812,@FoxNews,0.188,.@RandPaul: “Scott Pruitt has really been the champion for deregulation and deregulation has been a big part in our… https://t.co/6y6odhIpvV,63
463,0.0,Tue Apr 10 13:56:50 +0000 2018,0.0,1.0,@FoxNews,0.0,.@RandPaul: “We never should have had Mueller in the first place because we’ve given too much power to a prosecutor… https://t.co/iDGMQofVo8,64
464,0.6597,Tue Apr 10 13:53:04 +0000 2018,0.0,0.735,@FoxNews,0.265,".@RandPaul: “Going after someone’s personal attorney is a great overstep, I think, in the authority of the prosecut… https://t.co/t11ydWzAf6",65
465,-0.2263,Tue Apr 10 13:44:26 +0000 2018,0.147,0.853,@FoxNews,0.0,.@POTUS cancels trip to South America to oversee 'response to Syria' https://t.co/C2mhUdTcms,66
466,0.0,Tue Apr 10 13:10:00 +0000 2018,0.0,1.0,@FoxNews,0.0,Girls leap for their lives from burning balcony after New Jersey building inferno breaks out https://t.co/LNUw1DR86L,67
467,0.0,Tue Apr 10 13:00:42 +0000 2018,0.0,1.0,@FoxNews,0.0,.@Judgenap: Cohen Could Be 'Squeezed' for Info on Alleged Trump-Russia Collusion https://t.co/4xzFnJGxac,68
468,-0.2263,Tue Apr 10 12:58:28 +0000 2018,0.101,0.899,@FoxNews,0.0,RT @FoxBusiness: NFL legend Joe Gibbs on anthem protests: ‘A lot of people sacrificed for that flag’ https://t.co/zqiWwnG5WT,69
469,0.0772,Tue Apr 10 12:50:37 +0000 2018,0.0,0.92,@FoxNews,0.08,"OPINION: Want jobs? Nebraska reforms have more people working, fewer on welfare and food stamps https://t.co/TvM5wFwAE3",70
470,0.34,Tue Apr 10 12:50:10 +0000 2018,0.0,0.876,@FoxNews,0.124,".@dougducey: “To secure the border… we’re going to need technology, we’re going to need that physical barrier.” https://t.co/pt1GM1xQZ4",71
471,0.4215,Tue Apr 10 12:43:53 +0000 2018,0.0,0.865,@FoxNews,0.135,.@dougducey on sending the @USNationalGuard to the border: “This is all about public safety. We’re talking about se… https://t.co/xa4fwUflSI,72
472,0.0,Tue Apr 10 12:42:17 +0000 2018,0.0,1.0,@FoxNews,0.0,.@ChuckGrassley: “[Cambridge Analytica] tapped into Facebook and got this information probably a year before there… https://t.co/tiIRwPaUtD,73
473,0.4509,Tue Apr 10 12:22:10 +0000 2018,0.118,0.661,@FoxNews,0.221,Jonathan Turley: “The president has to be very careful. The greatest danger that he faces is not Michael Cohen as d… https://t.co/Qx2Fe3VucN,74
474,-0.296,Tue Apr 10 12:13:32 +0000 2018,0.18,0.82,@FoxNews,0.0,China files trade complaint against US over steel tariffs https://t.co/xjM8jl3tmY https://t.co/kgAskc4Wxn,75
475,0.0,Tue Apr 10 12:12:44 +0000 2018,0.0,1.0,@FoxNews,0.0,Crews Start New Border Wall in New Mexico https://t.co/B2Fx5ZpG49,76
476,0.3412,Tue Apr 10 12:08:26 +0000 2018,0.0,0.806,@FoxNews,0.194,OPINION: Cal Thomas: Six reasons Trump should not abandon Syria https://t.co/sXbegr94x4,77
477,-0.296,Tue Apr 10 11:57:41 +0000 2018,0.104,0.896,@FoxNews,0.0,.@FLGovScott: “This concept of career politicians makes no sense in this country… Why don’t we have term limits for… https://t.co/tQk83lMmUx,78
478,0.0,Tue Apr 10 11:42:07 +0000 2018,0.0,1.0,@FoxNews,0.0,".@RepMarkMeadows: “Enough is enough, let’s get the documents… and if this attorney general and deputy attorney gene… https://t.co/uxX5DrR2Hc",79
479,0.4767,Tue Apr 10 11:29:35 +0000 2018,0.0,0.659,@FoxNews,0.341,.@FLOTUS comforts child who spilled water https://t.co/A2ugWnRDTk,80
480,0.128,Tue Apr 10 11:00:04 +0000 2018,0.0,0.88,@FoxNews,0.12,"Exclusive look inside military operations at the southern border, @GriffJenkins reports https://t.co/PdDg08wJGw",81
481,-0.5859,Tue Apr 10 10:41:17 +0000 2018,0.324,0.676,@FoxNews,0.0,A drunk tourist accidentally climbed a mountain while trying to find his hotel https://t.co/Q8C7QttQ6f,82
482,-0.3612,Tue Apr 10 10:40:32 +0000 2018,0.296,0.566,@FoxNews,0.138,The Latest: Syrian troops on alert amid fear of US strike https://t.co/leU6xKZUi5,83
483,0.4019,Tue Apr 10 10:37:10 +0000 2018,0.0,0.856,@FoxNews,0.144,"Former DEA special agent Javier Pena on opioids: ""We need to get ahead of this problem."" https://t.co/KuHYgYqqiS",84
484,-0.0258,Tue Apr 10 10:32:28 +0000 2018,0.068,0.932,@FoxNews,0.0,JetBlue flight attendant who ditched 60 pounds of cocaine at airport sentenced to time served https://t.co/hlvtDJLr9A,85
485,-0.5812,Tue Apr 10 10:26:15 +0000 2018,0.254,0.746,@FoxNews,0.0,".@SebGorka on chemical attack in Syria: ""We cannot allow this taboo to be persistently broken.""… https://t.co/u2wCBIFKDl",86
486,-0.3818,Tue Apr 10 10:21:33 +0000 2018,0.206,0.794,@FoxNews,0.0,OPINION: Has the California backlash against liberal craziness finally begun? https://t.co/qfrnE8DGds,87
487,0.0,Tue Apr 10 10:19:15 +0000 2018,0.0,1.0,@FoxNews,0.0,"Car slams into Texas home, triggering gas explosion and injuring 5 people https://t.co/AfkA6U6zNh",88
488,0.0,Tue Apr 10 10:17:22 +0000 2018,0.147,0.705,@FoxNews,0.147,National Park Service abandons plan to increase entrance fees after public backlash https://t.co/UO3gHNelHk,89
489,-0.7906,Tue Apr 10 10:06:39 +0000 2018,0.412,0.588,@FoxNews,0.0,"Syrian government forces  preparing for possible US attack, war monitors say https://t.co/oo4a5z2AMR",90
490,-0.0258,Tue Apr 10 10:01:20 +0000 2018,0.091,0.909,@FoxNews,0.0,"2 men sentenced to probation for gang-rape of 13-year-old girl, triggering backlash https://t.co/OuGpYO36lK",91
491,0.5267,Tue Apr 10 09:58:48 +0000 2018,0.076,0.696,@FoxNews,0.228,Don Knotts' daughter said she had to leave his deathbed to laugh https://t.co/03x8fwXlNk,92
492,0.0,Tue Apr 10 09:52:57 +0000 2018,0.0,1.0,@FoxNews,0.0,".@FLGovScott announces Senate campaign, says Washington is ‘broken’ https://t.co/uN0vMZbxbg https://t.co/56FqmheIMf",93
493,0.0,Tue Apr 10 09:42:25 +0000 2018,0.0,1.0,@FoxNews,0.0,Authorities release Austin bombing investigation documents https://t.co/jd9x5mU7vM https://t.co/GzkMoNZpqP,94
494,0.128,Tue Apr 10 09:38:46 +0000 2018,0.0,0.88,@FoxNews,0.12,"Exclusive look inside military operations at the southern border, @GriffJenkins reports https://t.co/VVl2YlYItf",95
495,0.0,Tue Apr 10 09:32:12 +0000 2018,0.0,1.0,@FoxNews,0.0,".@TomFitton: ""I don't understand how a decision to raid the office and home of the lawyer of the president of the U… https://t.co/Ppa2OLXYxH",96
496,0.0,Tue Apr 10 09:26:36 +0000 2018,0.0,1.0,@FoxNews,0.0,California withholding assistance as @NationalGuard troops begin arriving at US-Mexico border https://t.co/md0Sx8aL4g,97
497,-0.4767,Tue Apr 10 09:25:44 +0000 2018,0.193,0.807,@FoxNews,0.0,Ground broken on high-priority stretch of #Trump's border wall in New Mexico https://t.co/83ceiVTskW https://t.co/OAB3J8ChHB,98
498,0.0,Tue Apr 10 09:21:29 +0000 2018,0.0,1.0,@FoxNews,0.0,"President #Trump slams @FBI,  calls federal raid on the office of his personal attorney, Michael Cohen, an ""attack… https://t.co/lobaLSs37w",99
499,0.4215,Tue Apr 10 09:14:52 +0000 2018,0.0,0.833,@FoxNews,0.167,"""This should've been done by other presidents.""

President @realDonaldTrump hopes for a diplomatic breakthrough wit… https://t.co/yjprrKkO2A",100
